schema_version	namespace	profile	master	order_index	position	predecessor	method	candidate_count	attempted_paths	dropped_paths	generation_elapsed_s	generation_overage	ledger_charge_total_s	actual_replay_total_s	actual_replay_overage	replay_coverage_numerator	replay_coverage_denominator	raw	invalid_attribution_count	duplicate_identity_count	score_identity_failure_count	timeout_count	incomplete_count	exception_count	exception_id	cell_valid	transition_sequence_json
hcms24-method-cell-v1	primary	reset_dominant_new	307	1	3	hcms_calibrated	hcms_scalar	7	8	1	1.921648074989207	False	1.3440561881288886	2.2402197470655665	True	0	7	2702.0	0	0	0	0	0	0		True	[24,24,24,24,24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	307	2	0	none	fixed24_no_salvage_calibrated	3	8	5	1.9022793429903686	False	1.6579692522645928	0.7418060259660706	False	3	3	1158.0	0	0	0	0	0	0		True	[24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	307	2	1	fixed24_no_salvage_calibrated	hcms_scalar	7	8	1	1.9194199650082737	False	1.3492438355693595	2.1957319668726996	True	0	7	2702.0	0	0	0	0	0	0		True	[24,24,24,24,24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	307	2	2	hcms_scalar	fixed8_calibrated	4	12	8	1.9127105809748173	False	1.8839397108240519	0.6407241559354588	False	4	4	520.0	0	0	0	0	0	0		True	[8,8,8,8]
hcms24-method-cell-v1	primary	reset_dominant_new	307	2	3	fixed8_calibrated	hcms_calibrated	3	11	8	1.9343978370307013	False	1.6555910411989316	0.6960913019720465	False	3	3	1158.0	0	0	0	0	0	0		True	[24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	307	3	0	none	hcms_scalar	7	8	1	1.9334079360123724	False	1.3735151860280894	2.23515783296898	True	0	7	2702.0	0	0	0	0	0	0		True	[24,24,24,24,24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	307	3	1	hcms_scalar	hcms_calibrated	3	11	8	1.9511410009581596	False	1.7084789453656413	0.7162512049544603	False	3	3	1158.0	0	0	0	0	0	0		True	[24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	307	3	2	hcms_calibrated	fixed24_no_salvage_calibrated	3	8	5	1.9089695069706067	False	1.6738345686462708	0.7707707529189065	False	3	3	1158.0	0	0	0	0	0	0		True	[24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	307	3	3	fixed24_no_salvage_calibrated	fixed8_calibrated	4	13	9	1.9913436560891569	False	1.9582389399874955	0.6379810960497707	False	4	4	520.0	0	0	0	0	0	0		True	[8,8,8,8]
hcms24-method-cell-v1	primary	immediate_context_cliff_new	101	0	0	none	hcms_calibrated	10	15	5	1.9097518239868805	False	1.982659869681811	1.3232694660546258	False	10	10	1188.0	0	0	0	0	0	0		True	[8,8,8,8,8,8,8,8,8,1]
hcms24-method-cell-v1	primary	immediate_context_cliff_new	101	0	1	hcms_calibrated	fixed8_calibrated	10	15	5	1.9663880069274455	False	1.9750557978113648	1.3209526450373232	False	10	10	1188.0	0	0	0	0	0	0		True	[8,8,8,8,8,8,8,8,8,1]
hcms24-method-cell-v1	primary	immediate_context_cliff_new	101	0	2	fixed8_calibrated	hcms_scalar	13	14	1	1.9171995640499517	False	0.7783825072343462	1.8819340949412435	False	0	13	1690.0	0	0	0	0	0	0		True	[8,8,8,8,8,8,8,8,8,8,8,8,8]
hcms24-method-cell-v1	primary	immediate_context_cliff_new	101	0	3	hcms_scalar	fixed24_no_salvage_calibrated	0	13	13	1.9565666790585965	False	0.0	0.0	False	0	0	0.0	0	0	0	0	0	0		True	[]
hcms24-method-cell-v1	primary	immediate_context_cliff_new	101	1	0	none	fixed8_calibrated	9	15	6	1.977316998061724	False	1.8689885360072367	1.222435548901558	False	9	9	1170.0	0	0	0	0	0	0		True	[8,8,8,8,8,8,8,8,8]
hcms24-method-cell-v1	primary	immediate_context_cliff_new	101	1	1	fixed8_calibrated	fixed24_no_salvage_calibrated	0	12	12	1.901703989948146	False	0.0	0.0	False	0	0	0.0	0	0	0	0	0	0		True	[]
