master_index	master_digest_hex	weighting	saturation	adaptive_score	global_score	gain_numerator	gain_denominator	gain_percent_fixed_12	clears_5_percent	global_length
18	48b0cda766314fdc195387f0a0e530d8e7bd639a0ed9ebe3ed97ecb717f17823	cliff_only	1000000000000000000	9246336	6673252	2573084	6673252	38.558172237464	true	8
19	418a0e742b0ab3df34181add7d6a278f856aaa6a81426b12041649d61d7fd1f9	equal	200000	12008878	8572334	3436544	8572334	40.088778622018	true	16
19	418a0e742b0ab3df34181add7d6a278f856aaa6a81426b12041649d61d7fd1f9	balanced_cliff_presence	200000	21364456	15915872	5448584	15915872	34.233650534510	true	16
19	418a0e742b0ab3df34181add7d6a278f856aaa6a81426b12041649d61d7fd1f9	no_cliff_only	200000	3118526	2947176	171350	2947176	5.814040288059	true	32
19	418a0e742b0ab3df34181add7d6a278f856aaa6a81426b12041649d61d7fd1f9	cliff_only	200000	8890352	6325198	2565154	6325198	40.554524933449	true	8
19	418a0e742b0ab3df34181add7d6a278f856aaa6a81426b12041649d61d7fd1f9	equal	1000000000000000000	12381210	8685348	3695862	8685348	42.552837261098	true	16
19	418a0e742b0ab3df34181add7d6a278f856aaa6a81426b12041649d61d7fd1f9	balanced_cliff_presence	1000000000000000000	22047132	16199858	5847274	16199858	36.094600335386	true	24
19	418a0e742b0ab3df34181add7d6a278f856aaa6a81426b12041649d61d7fd1f9	no_cliff_only	1000000000000000000	3221974	3050624	171350	3050624	5.616883627743	true	32
19	418a0e742b0ab3df34181add7d6a278f856aaa6a81426b12041649d61d7fd1f9	cliff_only	1000000000000000000	9159236	6325198	2834038	6325198	44.805522293531	true	8
20	a09d950bfe0edffba9314ef310bb9f28600e8d59b86b89f910cf5d7a341eff86	equal	200000	11884542	8725944	3158598	8725944	36.197779861984	true	16
